Region,Country,Year,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget,Pep Budget,Bottler Budget,Category
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Other Non Working,Out of Scope Countries ( D8 Gastos),0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Package Design,Other Package Design,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Package Design,Package Design,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Consumer Promotions,Consumer Promotions Execution,0.0,6920159,0,6920159,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Consumer Promotions,Coupons (Redemption),0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Consumer Promotions,Other Consumer Promotions,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Consumer Promotions,Premiums,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,In Store & POS Execution,In-Store and POS Execution,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,In Store & POS Execution,Other In-Store and POS Execution,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Media Placements,Digital Media,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Media Placements,Media Placements,100.0,4564360,4564360,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Media Placements,Other Media,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Other Working,All Other Working,100.0,515331,515331,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Other Working,W-Cross Charges,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Other Working,W-Excluded non-A&M Items,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Other Working,W-Fall In / Fall Out,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Sampling,Other Sampling,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Sampling,Product Samples,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Sampling,Sample Executing,100.0,220856,220856,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Sponsorships,Other Sponsorships,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Working,Sponsorships,Sponsorships,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Capability Building/Other,Capability Building,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Capability Building/Other,Capability Building/Other-Other,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Equipment,On Premise Equipment,0.0,73618,0,73618,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Equipment,"Stands/ Racks, Other Trade Equipment",0.0,73618,0,73618,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Equipment,Trade Equipment-Other,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Programs,Distribution Incentives,0.0,3901791,0,3901791,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Programs,Innovation Investments,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Programs,Other Trade Programs,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Programs,Sales Incentives,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Trade Programs,Space Investments,0.0,13030512,0,13030512,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Unilateral,CDAs,0.0,37398308,0,37398308,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Unilateral,Capital Equipment,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Unilateral,Other Unilateral,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,STB - Push,Unilateral,Price Support,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Ad Production,Digital Ad Production,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Ad Production,Other Ad Production,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,100.0,16779686,16779686,0,CSD
